SealID,TOPPID,SatTagManufacturer,SatTagType,SatTagID,SatTagPTT,SatTagQC,SatTagComment,TDR1Manufacturer,TDR1Type,TDR1ID,TDR1Loc,TDR1QC,TDR1Comments,TDR1Manufacturer,TDR2Type,TDR2ID,TDR2Loc,TDR2QC,TDR2Comments,TDR1Manufacturer,TDR3Type,TDR3ID,TDR3Loc,TDR3QC,TDR3Comment,Other1,Other1Loc,Other1Comment,Other2,Other2Loc,Other2Comment,Other3,Other3Loc,Other3Comment
Sara,2005057,Wildlife Computers,SPOT,,59110,,,Wildlife Computers,Mk9,0490360,Back,,,,,,,,,,,,,,,,,,,,,,,
Mimi,2005058,Wildlife Computers,SPOT,,59107,,,Wildlife Computers,Mk9,0490963,Back,,,,,,,,,,,,,,,,,,,,,,,
Ines,2005059,Wildlife Computers,SPOT,,59109,,weird loop and noisy locations,Wildlife Computers,Mk9,0490358,Back,,,,,,,,,,,,,,,,,,,,,,,
Yuyu,2005067,,,,,,,Wildlife Computers,Mk9,0490357,Back,,,,,,,,,,,,,,,,,,,,,,,
Lola,2006003,Wildlife Computers,SPOT,05S0066,59108,,"very local to San B, check",Wildlife Computers,Mk9,0490965,Back,,,,,,,,,,,,,,,,,,,,,,,
Lupe,2006004,Wildlife Computers,SPOT,05S0073,59115,,,Wildlife Computers,Mk9,0490962,Back,,,,,,,,,,,,,,,,,,,,,,,
Sam,2006005,Wildlife Computers,SPOT,,59111,,"very local to San B, check",Wildlife Computers,Mk9,0490966,Back,,,,,,,,,,,,,,,,,,,,,,,
Ana,2006006,Wildlife Computers,SPOT,05S0074,59116,,"very local to San B, check",Wildlife Computers,Mk9,0490358,Back,,,,,,,,,,,,,,,,,,,,,,,
Sara,2006007,Wildlife Computers,SPOT,,,,MISSING,Wildlife Computers,Mk9,0490964,Back,,,,,,,,,,,,,,,,,,,,,,,
Ines,2006008,Wildlife Computers,SPOT,,59109,,,Wildlife Computers,Mk9,0490955,Back,,,,,,,,,,,,,,,,,,,,,,,
1563,2006009,Wildlife Computers,SPOT,04S0208,44633,,,Wildlife Computers,Mk9,0490132,Back,,,,,,,,,,,,,,,HTR,,,STT,,,,,
1740,2006010,Wildlife Computers,SPOT,04S0119,37592,,,Wildlife Computers,Mk9,0490851,Back,,,,,,,,,,,,,,,HTR,,,,,,,,
1702,2006011,Wildlife Computers,SPOT,,39453,,,Wildlife Computers,Mk9,0490875,Back,,,,,,,,,,,,,,,HTR,,,,,,,,
